game_id,game_category
128382757,GENRE_GAMBLING
128593920,GENRE_3D_SHOOTERS
128793606,GENRE_ECONOMIC
128856350,GENRE_STRATEGY
128958148,GENRE_COMMUNICATION
129052103,GENRE_3D_SHOOTERS
129376932,GENRE_RACING
129384062,GENRE_THREE_IN_ROW
129485998,GENRE_ROLE
129599112,GENRE_LOGIC
129804479,GENRE_THREE_IN_ROW
129848018,GENRE_STRATEGY
129922653,GENRE_COMMUNICATION
130313423,GENRE_3D_SHOOTERS
130451124,GENRE_STRATEGY
130475757,GENRE_ROLE
130567734,GENRE_3D_SHOOTERS
130588158,GENRE_3D_SHOOTERS
130710817,GENRE_ROLE
131171047,GENRE_QUESTS
131541761,GENRE_ROLE
132093968,GENRE_ECONOMIC
132134517,GENRE_THREE_IN_ROW
132137944,GENRE_LOGIC
132426663,GENRE_THREE_IN_ROW
132816858,GENRE_ROLE
133107072,GENRE_QUESTS
133118871,GENRE_ROLE
133210204,GENRE_ECONOMIC
133560402,GENRE_SIMULATORS
133585150,GENRE_RACING
133795531,GENRE_ECONOMIC
133805835,GENRE_BOARDS
134486911,GENRE_LOGIC
134644714,GENRE_STRATEGY
134936561,GENRE_GAMBLING
135393272,GENRE_HYPERCASUAL
135453555,GENRE_GAMBLING
135652275,GENRE_STRATEGY
135653126,GENRE_QUESTS
135928988,GENRE_ROLE
135939453,GENRE_LOGIC
136044287,GENRE_ROLE
136297402,GENRE_BOARDS
136371968,GENRE_ARCADES
136573609,GENRE_STRATEGY
136643460,GENRE_STRATEGY
137038186,GENRE_ECONOMIC
137384175,GENRE_HYPERCASUAL
137759696,GENRE_LOGIC
137804776,GENRE_STRATEGY
137840334,GENRE_SIMULATORS
138010902,GENRE_QUESTS
138058190,GENRE_GAMBLING
138104466,GENRE_BOARDS
138132871,GENRE_ROLE
138132940,GENRE_ECONOMIC
138133009,GENRE_QUESTS
138183356,GENRE_HYPERCASUAL
138329590,GENRE_3D_SHOOTERS
138644552,GENRE_SIMULATORS
138644667,GENRE_ROLE
138820226,GENRE_3D_SHOOTERS
138823239,GENRE_BOARDS
138869423,GENRE_BOARDS
139109198,GENRE_BOARDS
139220863,GENRE_STRATEGY
139414730,GENRE_3D_SHOOTERS
139691604,GENRE_BOARDS
139837815,GENRE_3D_SHOOTERS
139891865,GENRE_SIMULATORS
140163150,GENRE_LOGIC
140408169,GENRE_QUESTS
140540833,GENRE_3D_SHOOTERS
140543662,GENRE_LOGIC
140596838,GENRE_GAMBLING
140679063,GENRE_GAMBLING
140708181,GENRE_LOGIC
